nama,biaya,rating
Tanah Lot,60000,4.7
Jatiluwih Rice Terrace,40000,4.7
Pura Luhur Batukaru,30000,4.5
Bali Butterfly Park,50000,4.3
Air Terjun Blahmantung,20000,4.4
Pantai Kedungu,15000,4.4
Pantai Soka,25000,4.3
Taman Kupu-Kupu,50000,4.3
Hot Spring Angseri,25000,4.2
Pura Taman Ayun,20000,4.5
Balian Beach,10000,4.4
Air Panas Penatahan,20000,4.3
