nama,biaya,rating
Bali Safari and Marine Park,150000,4.5
Lebih Beach,350000,4.1
Taman Nusa,100000,4.2
Bali Bird Park,85000,4.4
Bali Zoo,125000,4.3
Batuan Temple,30000,4.3
Kanto Lampo Waterfall,20000,4.4
Sukawati Art Market,15000,4.1
Bali Shell Museum,50000,4.2
Beji Guwang Hidden Canyon,75000,4.4
Saba Beach,25000,4.0
Bali Orchid Garden,40000,4.1
